0.97 0.88     0.05  
0.99 0.91     0.03
1.01 0.89     0.05
1.03 0.80     0.09
1.05 0.90     0.08
1.07 0.82     0.08
1.09 0.88     0.08
1.11 0.88     0.08
1.13 0.86     0.06
1.15 0.86     0.08
1.17 0.90     0.05
1.19 0.89     0.04
1.21 0.91     0.03
1.23 0.92     0.03
1.25 0.85     0.04
1.27 0.90     0.03
1.29 0.94     0.03
1.31 0.93     0.07
1.33 0.83     0.1
1.35 0.89     0.09
1.37 0.95     0.12
1.39 0.94     0.11
1.41 0.90     0.14
1.43 0.83     0.13
1.45 0.82     0.15
1.47 0.92     0.15
1.49 0.91     0.16
1.51 0.85     0.05
1.53 0.65     0.04
1.55 0.55     0.08
1.57 0.41     0.1
1.59 0.53     0.04
1.61 0.46     0.1
1.63 0.60     0.09
1.65 0.54     0.11
1.67 0.69     0.12
1.69 0.76     0.06
1.71 0.77     0.13
1.73 0.97     0.09
1.75 1.01     0.08
1.77 1.00     0.12
1.79 1.04     0.11
1.81 1.02     0.11
1.85 1.00     0.07
1.87 0.94     0.09
1.89 0.94     0.07
2.   0.9      0.05
