0.91											0.96	0.02
0.935											0.89	0.05
0.965											0.85	0.05
1											0.84	0.05
1.04											0.85	0.05
1.075											0.87	0.05
1.105											0.9	0.06
1.135											0.94	0.07
1.15											0.95	0.1
