0.550 10  0.7
0.625 19  0.8
0.665 30  1
0.690 39  1
0.710 48  1
0.730 60  1.5
0.745 70  1.5
0.755 77  1.6
0.765 85  1.6
0.775 92  1.6
0.785 99  1.5
0.795 105  1.5
0.810 114  1.4
0.830 124  1.2
0.850 131  1.1
0.870 136  1
0.890 142  0.8
0.910 145  0.8
0.935 150  0.9
0.965 153  1



